Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Aysen,Chile,3531,28,3386.0,117.0,3422.9046705054384,0.7929764939110734
Azad Jammu and Kashmir,Pakistan,12805,355,10945.0,1505.0,316.53501809230613,2.772354549004296
Baden-Wurttemberg,Germany,365009,8704,329300.0,27005.0,3287.4681292326795,2.38459873592158
Bahia,Brazil,803664,15330,769689.0,18645.0,5403.486463851698,1.9075135877680225
Baja California Sur,Mexico,28334,1271,0.0,27063.0,3521.0287458307857,4.485776805251641
Baleares,Spain,57676,777,1533.0,55366.0,4853.983269091583,1.3471808031070116
Balochistan,Pakistan,19576,208,19106.0,262.0,158.58192632647916,1.0625255414793624
Bashkortostan Republic,Russia,32358,361,27452.0,4545.0,796.3491680270165,1.1156437357067803
Basilicata,Italy,19458,443,14241.0,4774.0,3456.932252442398,2.27669853016754
Bayern,Germany,500549,13264,451300.0,35985.0,3809.300068347602,2.6498904203184903
Beijing,China,1049,9,1037.0,3.0,4.791465071521409,0.8579599618684461
Belgorod Oblast,Russia,34282,562,32032.0,1688.0,2211.9188889949905,1.639344262295082
Berlin,Germany,146268,3055,134400.0,8813.0,3991.934691524876,2.088631826510241
Bermuda,United Kingdom,1217,12,729.0,476.0,1954.2980103736768,0.9860312243221035
Bihar,India,265527,1576,262371.0,1580.0,212.76214538781056,0.5935366271603264
Biobio,Chile,95470,1557,89123.0,4790.0,6132.431486281198,1.6308788100974128
Blekinge,Sweden,8956,120,0.0,8836.0,5611.317870255504,1.339883876730683
Bolivar,Colombia,69563,1409,67543.0,611.0,3360.3528314920463,2.025502062878254
"Bonaire, Sint Eustatius and Saba",Netherlands,196,3,180.0,13.0,747.492467869265,1.530612244897959
Boyaca,Colombia,48119,1154,46147.0,818.0,3952.681833714481,2.3982210769134853
Brandenburg,Germany,88464,3306,78140.0,7018.0,3495.121235239944,3.737113402061856
Bremen,Germany,20979,407,19040.0,1532.0,3084.5573640333464,1.9400352733686064
British Columbia,Canada,100048,1458,91066.0,7524.0,1918.53770179326,1.457300495762034
British Virgin Islands,United Kingdom,153,1,131.0,21.0,506.0025796209941,0.6535947712418301
Brussels,Belgium,109550,0,0.0,109550.0,8992.37023447472,0.0
Bryansk Oblast,Russia,35646,284,34786.0,576.0,2943.5615062816787,0.7967233350165517
Buryatia Republic,Russia,36006,785,34392.0,829.0,3657.2471003371215,2.180192190190524
C. Valenciana,Spain,385658,7112,9970.0,368576.0,7751.967901709539,1.8441209569100083
Calabria,Italy,46958,819,35814.0,10325.0,2411.6507826129828,1.74411175944461
Caldas,Colombia,49624,1015,47206.0,1403.0,4971.074525046206,2.0453812671288087
California,United States,3730942,58125,2705693.6662632823,967123.3337367176,7786.372067458499,1.1810144237562659
Campania,Italy,337289,5363,238809.0,93117.0,5813.631609537356,1.5900311009253192
Canarias,Spain,46880,676,1537.0,44667.0,2124.245718317224,1.4419795221843004
Cantabria,Spain,26077,542,2287.0,23248.0,4483.349695086832,2.0784599455458834
Capital District,Colombia,687382,14409,660006.0,12967.0,9273.19905144858,2.0962143320599025
Caqueta,Colombia,17185,649,16328.0,208.0,4280.316521747794,3.776549316264184
Casanare,Colombia,13044,305,12466.0,273.0,3101.991895439758,2.338239803741184
Castilla - La Mancha,Spain,175803,5757,6392.0,163654.0,8639.490249287795,3.274688145253494
Castilla y Leon,Spain,212625,6626,8716.0,197283.0,8830.921036510277,3.116284538506761
Catalonia,Spain,536235,13335,26203.0,496697.0,7087.026895507274,2.486782847072645
Cauca,Colombia,28124,775,26847.0,502.0,1920.3981186599003,2.755653534347888
Cayman Islands,United Kingdom,500,2,476.0,22.0,760.8034083992696,0.4
Ceara,Brazil,539569,14149,380789.0,143488.0,5894.61675644908,2.6052338747280794
Cesar,Colombia,43133,1239,41115.0,779.0,3592.69815938043,2.872510606728027
Ceuta,Spain,5121,95,163.0,4863.0,6036.85060533544,1.85510642452646
Chandigarh,India,26999,379,23702.0,2918.0,2330.567911379894,1.4037556946553575
Channel Islands,United Kingdom,4049,86,3956.0,7.0,2374.793987061508,2.123981229933317
Chechen Republic,Russia,11657,116,11328.0,213.0,811.2146228794953,0.9951102341940464
Chelyabinsk Oblast,Russia,55396,1222,50488.0,3686.0,1585.898341729086,2.205935446602642
Cherkasy Oblast,Ukraine,57393,759,49607.0,7027.0,4757.570557822724,1.3224609272907846
Chernihiv Oblast,Ukraine,41884,862,33677.0,7345.0,4164.475090604477,2.05806513227008
Chernivtsi Oblast,Ukraine,69844,1360,49629.0,18855.0,7722.9110965153795,1.94719660958708
Chhattisgarh,India,349187,4170,319488.0,25529.0,1186.2490140126974,1.194202533313096
Chiba,Japan,29698,568,27828.0,1302.0,474.4557849321227,1.9125867061755
Choco,Colombia,6706,204,6406.0,96.0,1253.865743251076,3.0420518938264243
Chongqing,China,591,6,585.0,0.0,1.8437545031207965,1.015228426395939
Chukotka Autonomous Okrug,Russia,733,5,691.0,37.0,1485.369214557834,0.6821282401091405
Ciudad de Mexico,Mexico,608872,30534,0.0,578338.0,6751.258088105253,5.014847127146592
Colorado,United States,462024,6107,335865.2879361419,120051.71206385808,8365.7409688725,1.3839558160510255
